#Simulation inputs: 2
Input name                              density0                                densitySH                               CD                                      CL                                      altitude                                longitude                               latitude                                
Value                                   0.0158                                  9354.5                                  0.0                                     0.0                                     0.0                                     1.57079632679                           0.0                                     
Units                                   kg/m**3                                 m                                       -                                       -                                       m                                       -                                       -                                       
